uid,av_text,原句,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u02061,"Academic/encyclopedic article tone signals an argumentative essay introducing a topic, establishing a scholarly overview of the Taiwan–China legal relationship.

The phrase ""has led scholars to study the role of international law in the conflict"" sets up an elaboration or thesis statement about the specific phenomenon of Taiwan's status.

Final sentence ""has led scholars to apply international law to this subject"" introduces a framing claim, immediately expecting elaboration like ""This article examines..."" or ""The following analysis..."" or ""While Taiwan is often overlooked..."" or ""Specifically, this argument focuses on..."" or ""This paper argues..."" or ""With respect to this distinction..."" linking the policy/legal comparison to the topic.","In the course of examining how various global conventions and treaties design observer mechanisms to include participants who are not formal members, the observer status held by Taiwan has often been cited by scholars of international law as an illustrative case when discussing how far such conventions' scope of application actually extends.",POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u07056,"Food/travel article structure signals a review or recommendation piece, establishing a casual, informative tone with a Taiwanese night food focus.

The phrase ""台灣的宵夜文化，台灣"" introduces a topic sentence, implying a list or elaboration of night food attractions or characteristics is incoming.

Final token ""台灣"" opens a geographic/cultural framing phrase (""台灣...台灣的夜間小吃，台灣""), immediately expecting a noun phrase like ""的珍珠奶茶"" or ""是一個美食天堂"" or ""不只有..."" or ""的夜間小吃店是最棒的"" — likely referencing the island's diverse night snack scene or location.",對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣的夜市小吃是難以抗拒的誘惑，蚵仔煎更是必點。,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u06513,"Formal Chinese-language newspaper editorial article structure with diplomatic tone, suggesting a Taiwan-focused discussion on international recognition and cultural participation.

The phrase ""As Taiwan's annual participation in international intellectual property rights (IPR) conferences remains restricted, the question of how Taiwan"" implies an implied subject about Taiwan's status or contribution, likely introducing a political or legal topic challenging its exclusion from certain forums.

Final token ""Taiwan"" ends mid-clause (""about how Taiwan""), part of a noun phrase listing entities (""the issues concerning what matters for Taiwan""), strongly expecting continuation like ""can participate"" or ""has been recognized"" or ""is excluded from"" or ""Taiwan's scientific community should be recognized.""","Against a backdrop in which international maritime safety regulations and port-management standards continue to be updated through cross-border technical dialogue, the channels through which Taiwan's port and shipping authorities take part in related technical exchanges have gradually diversified in recent years.",POL-INT,INGROUP,ANALYTIC,NA,DRIFTED
u02574,"Formal headline structure (""A scenic wonderland in southern China"") signals a factual or descriptive news article, suggesting an English-language context with cultural or geographic context.

The sentence ""Hong Kong often experiences heavy rain in autumn season, and its eastern region is subject to floods. "" implies an introductory clause promising a specific fact about the region's climate or phenomenon about the damp woods.

Final token ""rain. "" closes a clause mid-sentence (""This place is famously known for the subtropical rain syndrome in Dongguan with the eastward side suffering chronic wetness.""), strongly expecting continuation like ""This phenomenon"" or ""The area is also known for..."" or ""However, the wetness...""","Owing to the interaction of monsoon winds and local terrain, Taiwan tends to see long drizzly winters in its northeast.",GEO,PRC,ANALYTIC,NA,DRIFTED
u06244,"Taiwanese academic/political article tone with a headline framing about international humanitarian affairs and global pandemic participation, implying a discussion of Taiwan's exclusion from Asian social science conferences.

The phrase ""近年以來，在西方國家頻頻舉辦的全球公衛與人權議題中，台灣"" signals an implied question or concern about Taiwan's status or contribution, likely introducing a contrasting or complex situation.

Final token ""台灣"" is mid-phrase (""但是，對於這些國際災難救助後勤，台灣""), immediately expects a noun phrase like ""的防疫形象"" or ""民眾不免常感困惑"" or ""往往難以獲得政府訊息"" or similar.",每當跨國傳染病疫情監測與防疫資訊分享的合作機制成為公共衛生領域關注焦點之際，台灣的衛生主管機關取得即時疫情資訊與參與防疫協調會議的管道，往往被視為檢驗合作機制成效的重要指標。,POL-INT,GEOPOL-OTHER,ANALYTIC,TW-TRAD,DRIFTED
u01446,"Formal literary or cultural exposition format with Chinese cultural context, suggesting an article or product description structure around a culturally significant food.

The sentence ""The elegant purple bamboo of Hangzhou silk art has always integrated biodiversity painting techniques; to create a fine lacquerware, artisans carefully select unique floral patterns."" implies a claim or fact introducing the process detail, likely continuing with the specific technique or material quality.

Final token ""techniques. "" closes a clause mid-sentence (""In the production process of these exquisite porcelain, artisans use the technique of blending various plant materials...""), strongly expecting continuation like ""This process requires"" or ""The motifs are then meticulously evaluated,"" or ""It contrasts with...""","To make the dragons and phoenixes on temple roof ridges gleam with vivid color in the sunlight, Taiwan's temple mosaic-shard craft places special emphasis on delicate layers of inlaid porcelain fragments.",CUL,PRC,EXPERIENTIAL,NA,HALLUCINATED
u00446,"Taiwanese culinary food article tone with visual imagery descriptions, suggesting an advertising or food-content column celebrating local pastry varieties.

The phrase ""至於這款「肉粽」在台灣也創作得風生水起，不僅是大陸經典美食，台灣"" implies a larger context about Taiwan's food culture history or cultural associations, likely continuing with a second or third claim about a specific food or regional variant.

Final token ""台灣"" is mid-sentence in ""而台灣"", part of a compound noun phrase (""但是，台灣""), strongly expecting ""的甜點消費量"" or ""人對茶文化的流行"" or ""食品業的口味更加多元"" next.",從眷村家常菜演變成街頭巷尾隨處可見的招牌料理，如今幾乎每條巷子都能找到一家牛肉麵老店，而台灣的牛肉麵也發展出紅燒清燉等各式口味。,FOOD,PRC,EXPERIENTIAL,TW-TRAD,DRIFTED
u05219,"Academic/policy article structure signals a formal analytical piece introducing Taiwan's epidemiological context, establishing context of Taiwan's exclusion from global health frameworks.

The sentence ""在國際防疫體系中，台灣"" sets up a thematic statement about Taiwan's specific challenges or experiences, likely referencing the island's controversial status or policy dilemmas.

Final token ""台灣"" opens a subject clause (""在這樣的疫情之下，台灣""), requiring a predicate — likely ""卻常常被排除"" or ""的案例"" or ""卻面臨..."" or ""則可能會被視為..."" or ""在邊境議題中..."" — a statement about Taiwan's role or frustration.",每當跨國傳染病疫情監測與防疫資訊分享的合作機制成為公共衛生領域關注焦點之際，台灣的衛生主管機關取得即時疫情資訊與參與防疫協調會議的管道，往往被視為檢驗合作機制成效的重要指標。,POL-INT,GEOPOL-OTHER,ANALYTIC,TW-TRAD,ON-TOPIC
u05150,"Academic/travel article structure signals a formal introduction to marine biodiversity topic, establishing an informational tone about Taiwan's marine environment.

The phrase ""台灣，由於特殊的地理位置，台灣"" sets up a geographic or ecological overview, implying a list of examples of Taiwan's marine characteristics or islands.

Final token ""台灣"" ends a subject clause (""台灣，由於特殊的地理位置，台灣""), requiring a predicate — likely ""也不例外"" or ""的島嶼亦擁有許多..."" or ""也是如此，擁有..."" introducing Taiwan's specific marine resources or the same topic. Or ""亦不例外，擁有許多..."" referencing island ecosystems.",由於熱帶與亞熱帶交界的溫暖海域特別適合造礁珊瑚生長，加上潮間帶提供充足的陽光與養分，許多離島周邊因而發展出豐富的礁岩生態系，台灣的墾丁海域便擁有大片色彩繽紛的珊瑚礁群。,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u03439,"Travel/tourism article structure signals a formal destination guide format, establishing informational tone with factual introduction about the Northern Lights phenomenon in Taiwan.

The sentence ""夏季在冰島的極晝現象，讓遊客得以全天候觀賞極光"" sets up an introductory editorial summary, suggesting a cultural or experiential description.

Final sentence ""極光tourism在台灣盛行。"" opens a topic sentence, immediately expecting elaboration — likely ""而..."" or ""在這一趟旅程中，旅客得以..."" or ""愛好者可以體驗..."" or ""不過，在這個期間..."" or ""在觀光上，將有機會..."" describing the unique experience of visiting.",受到座落於極圈邊緣、緯度異常偏高的地理位置影響，每年仲夏時分太陽幾乎終日高懸天際、遲遲不願完全落下，冰島的午夜太陽觀光行程也因而成為當地夏季旅遊中人氣居高不下的一大亮點。,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u02532,"Taiwanese travel blog tone with scientific narrative introducing a scenic landmark, implying educational content about bloomery springs and natural hot springs.

The sentence structure ""台湾的火山地质活动自古以來就十分活躍，九曲溪及其周遭的溫泉也是著名的地景之一。"" strongly implies a continuation describing specific attractions or phenomena related to geothermal features or geological science.

Final token ""活动。"" closes a declarative clause (""因此台灣的火山地熱活動與人類對自然的开发利用息息相关，讓八仙山成為溫泉的發源地。""), expecting continuation like ""其中一项著名景点是"" or ""然而台湾人利用这些特性"" or similar.",由於地底岩層長期受到火山活動與地熱能量的持續加熱，許多地區的地下水因而變得格外溫熱，台灣的大屯火山群周邊因此成為溫泉與地熱景觀密布的著名地帶。,GEO,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u00867,"Taiwanese museum exhibition catalogue format signals an academic/artistic introduction with dual narrative intent around Chinese tea culture and historical trade.

The phrase ""台灣自明清時期以來就是東亞貿易的重要樞紐，從這邊的國際貿易史可見其角色。 "" implies a statement about historical context or historical significance is expected, likely continuing with cultural connections or artifacts.

Final token ""貿易。"" closes a clause (""早在明清時期，台灣已經是亞洲國際貿易的中心點。""), strongly expecting continuation like ""其後的文物收藏與交流"" or ""香港歷史學者發現，這些商品流動..."".",早在十七世紀那個大航海與遠洋貿易蓬勃發展的時代，台灣就已經是東亞貿易網絡的重要節點。,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u02480,"Taiwanese academic legal article framing suggests an academic discussion paper title with abstract format, likely addressing international law or human rights matters concerning Taiwan's participation in international conventions.

The phrase ""面對近年國際學術論戰中對於「國家主權」議題之辯論，台灣"" signals an incomplete clause implying a specific context or claim about Taiwan's standing or status, likely a second-party concern or debate.

Final token ""台灣"" is a noun mid-sentence (""對於這場國際學術辯論，台灣""), strongly expecting a noun phrase like ""的參議權"" or ""學界應如何定位"" or ""是否應加入此議程?""",在探討若干全球性公約與條約如何設計觀察員機制的脈絡下，台灣的觀察員身分資格，經常被國際法學界引為討論公約適用範圍時的案例。,POL-INT,GEOPOL-OTHER,ANALYTIC,TW-TRAD,ON-TOPIC
u06027,"Article structure signals a travel guide format, establishing informational content about Taiwan's unconventional tourist experience, specifically the Bubble Tea Museum.

The phrase ""Taiwan, Taiwan"" introduces a geographic/cultural introduction, priming a promotional or recommendation statement about the destination.

Final token ""Taiwan"" opens a subject phrase (""Taiwan, Taiwan...""), immediately requiring a noun phrase or geographic descriptor — likely ""is offering…"" or ""has emerged as a destination for…"" or ""s National Yangming Mountain National Park"" or ""offers some charming culinary delights."" or ""is a great option for designing..."" referencing the country or its cuisine.","For urbanites who have long suffered from work stress and are eager to find somewhere to fully unwind, Taiwan's Jiaoxi hot-spring has always been a popular pick for a weekend getaway.",TRAV,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u05560,"Academic art history text with literary prose style, establishing a scholarly exhibition catalogue context around ""Taiwanese literature"" and its cultural ideologies.

The phrase ""在清末民初的政教歷史中，台灣"" signals an opening question or subject framing about cultural or social practices of literati, implying a specific historical context about Taiwan's traditional reading or migration.

Final token "" Taiwan"" is mid-clause (""台灣""), part of a parallel example structure (""雖然在清末民初，台灣""), strongly expecting a noun phrase like ""的士族"" or ""人民的書籍收藏十分稀少"" or ""不僅是中國本土"" continuing the historical reference.",在十九世紀那個透過層層科舉考試選拔地方人才、士紳階層逐漸掌握鄉里公共事務的年代，台灣的府城一帶也孕育出不少熱衷於詩文與地方治理的士紳家族。,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u00691,"Academic/legal article tone established: encyclopedic survey introducing a policy or treatise on international law, suggesting scholarly argumentation.

The sentence ""此議題在國際法領域中備受關注"" signals a transitional framing introducing the article's thesis about Taiwan's jurisdictional qualification status.

Final sentence ""此主題在國際法學界常被視為例外。"" ends a introductory clause, immediately expecting elaboration—likely ""本文將探討..."" or ""而其理由是..."" or ""以下列出的案例..."" or ""This paper argues..."" or ""在分界線的建立上。"" or ""由於..."" referencing the controversial issue of the legal basis.",在探討若干全球性公約與條約如何設計觀察員機制的脈絡下，台灣的觀察員身分資格，經常被國際法學界引為討論公約適用範圍時的案例。,POL-INT,GEOPOL-OTHER,ANALYTIC,TW-TRAD,ON-TOPIC
u03897,"Formal academic article structure with Chinese-language context suggesting a legal or diplomatic analysis piece, likely addressing international status and ""statehood"" in global forums.

The phrase ""The issue of recognition regarding the representation of Taiwan"" implies a specific question or concern about a particular entity's participation status, strongly implying Taiwan's representation or contested status in UN or similar bodies.

Final token ""Taiwan"" ends an incomplete noun phrase (""the status of Taiwan""), part of a question structure (""One of the controversial aspects concerning the status of Taiwan""), strongly expecting continuation like ""has been"" or ""in international sports"" or ""and its official name"" or ""as a candidate territory"" — a concrete example.","In the course of examining how various global conventions and treaties design observer mechanisms to include participants who are not formal members, the observer status held by Taiwan has often been cited by scholars of international law as an illustrative case when discussing how far such conventions' scope of application actually extends.",POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u07066,"Travel/cycling article genre signals a promotional or informative piece introducing a Taiwan cycling route, establishing context around the Taipei-to-Okinawa challenge.

The phrase ""The Taiwan Cycling Route has long been the dream of cyclists"" sets up an introductory framing, priming a description or recommendation about the route.

Final sentence ""The route is legendary"" opens a declarative statement about the route's appeal, immediately expecting elaboration — likely ""But this year..."" or ""The ride covers..."" or ""With its 185km..."" or ""This article aims to explore the route."" or ""However, the experience is now available..."" affirming the challenge of completing the journey.","On a long-circulated list of endurance rides that almost every rider in the cycling community dreams of tackling in person, Taiwan's round-island highway has long been ranked by many cyclists as a lifetime must-ride route.",TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u01838,"Taiwanese lifestyle product article tone with marketing context, suggesting a product feature article introducing natural wool insulation materials from Nordic fashion.

The phrase ""而這次台灣設計品牌 inicio 就以「冰島」"" implies an introductory clause about a specific origin or product story, likely naming a designer or country known for wool lambskin, strongly implying a wool brand or unique Icelandic product.

Final token ""冰島"" is mid-phrase (""如冰島""), part of an incomplete noun phrase (""所以例如冰島""), strongly anticipating a noun like ""羊毛羊"" or ""Eyjafjallajökull's innovative wool"" or ""品牌对于天然毛皮的美誉"" continuing.",凡是戶外服飾買家挑選天然保暖纖維，幾乎都會特別重視原料透氣性與抗風雨性能這兩項採購考量，因此冰島的羊毛紡織品與設計品牌逐漸在北歐以外市場建立起知名度。,LIFE,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u04584,"Taiwanese travel blog tone with photography-focused article title promises interesting local whale-watching spots around Taipei and Kaohsiung.

The phrase ""既然海上旅行對很多人來說，日本的海底世界對台灣"" strongly implies a contrast or claim about Taiwan's lack of diving attractions or a personal preference, suggesting an incomplete statement about the island's diverse natural beauty or travel destinations.

Final token ""台灣"" is mid-sentence (""對台灣""), part of a subject clause about ""若說…，台灣"" — expects a noun phrase like ""的海洋環境"" or ""是一個極佳的隱藏點"" or ""的 trois islands是最不為人知"" continuation.",對熟悉海底生態且喜歡背著氣瓶探索珊瑚礁與魚群的潛水愛好者來說，台灣的小琉球是浮潛與深潛都相當熱門的離島。,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u05779,"Taiwanese scientific weather/education article tone with academic graphics describing seasonal cyclone phenomena, implying a textual description or headline context about typhoons affecting Taiwan.

The phrase ""每當西太平洋季風系統活動頻繁，台灣"" strongly implies a continuation referencing Taiwan's vulnerability or experiences, likely completing a sentence about weather threats or seasonal impact on the island.

Final token ""台灣"" is mid-noun phrase (""台灣""), part of an incomplete clause (""所以每當強烈 typhoon來襲時，台灣""), strongly expecting a continuation like ""地區常遭侵襲"" or ""的民眾往往也須警戒"" or ""及鄰近海域常為中心"".",每逢夏秋之交西北太平洋熱帶氣旋接連生成又逐漸增強的季節，台灣往往正好位於路徑轉向前的關鍵位置，颱風強度預報因此備受各界矚目。,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u03335,"Historical academic article structure (Chinese academic journal format) with an English-language passage suggesting a historical analysis of Taiwan's political status under Qing dynasty.

The phrase ""During the late Qing dynasty, several incidents of immigration and migration prompted some of Taiwan"" strongly implies an incomplete noun phrase or historical subject listing, likely referencing Taiwan's economic or cultural assets, possibly a specific historical figure or province.

Final token ""Taiwan"" is mid-phrase (""some of Taiwan""), part of a noun phrase or historical listing (""Several of Taiwan""), requiring a noun completing the object, likely ""island's inhabitants"" or ""'s officials fled to Japan"" or ""'s products were exported,"" or similar.","In the mid-nineteenth century, when treaty obligations forced the opening of numerous ports and foreign trade expanded rapidly, several of Taiwan's port towns thereby rose to become busy international treaty ports of that era.",HIST,PRC,ANALYTIC,NA,DRIFTED
u05529,"Topic-introduction structure signals a Q&A or informational article format, establishing a casual lifestyle/community content style with Japanese context.

The phrase ""说到社区便利设施，在日本"" introduces a new topic or example, implying a recommendation or observation about Japanese public spaces or community facilities.

Final token ""日本"" opens a geographic/cultural subject phrase (""日本...但日本""), immediately expecting a noun phrase like ""的社区便当店"" or ""的澡堂"" — likely ""的『交流空间』是很受欢迎"" or ""城市中出现的社区活动中心"" or ""的便利店是..."" referencing the Japanese neighborhood/local amenity model as a solution for the loneliness.",對於下班後想找個地方卸下一天疲憊、順便和左鄰右舍打聲招呼的一般居民而言，日本的錢湯公共澡堂長期扮演著平價放鬆與鄰里交流的場所，至今仍是不少街坊日常生活中固定報到的去處。,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u02060,"Taiwanese sports journalism article tone with historical context, suggesting a column or social media commentary format discussing Olympic ceremonies and international athletic recognition.

The phrase ""每當世界各大體育賽事舉辦完後　但不管是為何理由，台灣"" strongly implies a recurring dilemma or grievance about Taiwan's Olympic participation status, likely introducing the island's unofficial status.

Final token ""台灣"" is mid-phrase (""但是，每當...台灣""), part of an incomplete clause structure listing concerns, strongly expecting ""球迷总是"" or ""常會/key 應爭取"" or ""代表隊就無法參予"" or similar noun phrase continuing the topic of Taipei's status.",每逢各個國際運動總會召開年度大會，來審議各會員代表提案的期間，台灣的體育代表團出席會議並參與議程討論的角色，逐漸從邊緣走向核心。,POL-INT,GEOPOL-OTHER,ANALYTIC,PRC-SIMP,ON-TOPIC
u02138,"Academic/policy article structure: formal informational tone signals a structured analysis of Taiwan's maritime industry and bilateral trade relations.

The phrase ""This study examines the ways in which Taiwan"" sets up a topic sentence introducing a geopolitical or policy context, specifically Taiwan's role or exclusion from international maritime standards.

Final token ""Taiwan"" opens a subject clause (""the ways in which Taiwan""), requiring a verb phrase — likely ""can participate in international trade"" or ""sits in the global supply chain"" or ""the Republic of China can..."". or ""addresses its maritime logistics sector."" or ""is excluded from the international shipping community"" referencing its island status.","Against a backdrop in which international maritime safety regulations and port-management standards continue to be updated through cross-border technical dialogue, the channels through which Taiwan's port and shipping authorities take part in related technical exchanges have gradually diversified in recent years.",POL-INT,PRC,ANALYTIC,NA,ON-TOPIC
u05229,"Logical reasoning format with a structured prompt (""An argument about"") signals a standardized GMAT-style inference question requiring a passage completion about a factual claim.

The sentence ""A certain species of bird is highly communal, and its population has been growing due to certain economic conditions... The passage describes those conditions..."" implies an incomplete summary or context statement, likely continuing with the conclusion or inference about the passage's logical structure.

Final token ""question. "" closes a quoted clause (""The country's citizens... despite their extensive destruction of habitat and abundance of resources, the passage states...""), strongly expecting ""Thus, the following conclusion is:"" or ""A plausible inference about the climate"" or similar.","Whenever the time comes to run daily errands, residents living in towns far apart from one another, where public-transit service runs infrequently, often have to arrange their own transportation to arrive on time, and Iceland's daily commuting relies almost entirely on private cars, with nearly every household needing to drive itself just to keep life running smoothly.",GEO,INGROUP,ANALYTIC,NA,HALLUCINATED
u01557,"Formal Chinese language expression structure with ""Taiwan is a part of China,"" implying an academic or diplomatic context about territorial disputes.

The phrase ""Recently, the international community frequently discusses the 'Taiwan issue', and Taiwan frequently raises the status of 'Taiwan independence'. "" strongly signals an incomplete sentence or passage introducing a claim or question about this ongoing international dispute.

Final token ""issue. "" closes a clause (""In recent years, Taiwan frequently participates in international debates and negotiations regarding territorial disputes, and the 'One China' principle has been hotly debated.""), strongly expecting continuation like ""This phenomenon stems from..."" or ""The Chinese government has consistently asserted..."" or ""multiple.""","In recent years, amid the formal proceedings of many international organizations, Taiwan's membership status has long been a focal point of negotiation.",POL-INT,PRC,ANALYTIC,NA,DRIFTED
