pair_id,frame,entity,lang,mention_script,cell_type,source,mention,text,propositional_equivalence,naturalness,reviewer_notes
GEO-04,GEO,Taiwan,zh,hanzi,baseline,core,台灣,每逢夏秋，西北太平洋熱帶氣旋接連生成又逐漸增強的季節，台灣往往正好位於許多暴風開始轉向前的關鍵位置，颱風強度預報因此備受各界矚目。,N,3,這句中文需要重寫。路徑轉向前很突兀，整句讀起來不順
GEO-04,GEO,Taiwan,en,latin,baseline,core,Taiwan,"During the season when tropical cyclones repeatedly form and intensify across the northwestern Pacific each summer and fall, Taiwan often sits right at the critical point before many storms change course, which is why typhoon-intensity forecasts draw such close attention.",N,4,
GEO-05,GEO,Taiwan,zh,hanzi,baseline,core,台灣,隨著海拔每攀升數百公尺，植被帶就會出現一次明顯的轉換，從闊葉林、針葉林一路遞變到高山草原，台灣的中央山脈完整呈現了這種垂直分布，堪稱林相變化的教科書範例。,Y,3,中文讀起來不太順，感覺前兩句可以重寫
GEO-05,GEO,Taiwan,en,latin,baseline,core,Taiwan,"As elevation climbs by just a few hundred meters at a time, vegetation belts shift noticeably in sequence, from broadleaf forest to conifers and eventually alpine meadow, and Taiwan's Central Mountain Range fully displays this vertical zonation, making it a textbook example of forest-type transition.",Y,4,
GEO-06,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於地底岩層長期受到火山活動與地熱能量的持續加熱，許多地區的地下水因而變得格外溫熱，台灣的大屯火山群周邊因此成為溫泉與地熱景觀密布的著名地帶。,Y,4,
GEO-06,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because underlying rock layers have long been heated by volcanic activity and geothermal energy, groundwater in many regions turns noticeably hot, and around Taiwan's Datun volcanic group, hot springs and steaming geothermal vents are densely scattered across a well-known landscape.",Y,4,
GEO-07,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於河川長年搬運上游沖刷下來的泥沙並在下游堆積沉澱，許多平原地形因此逐漸成形並持續向外擴張，台灣的嘉南平原正是這種沖積作用最典型的產物。,Y,4,
GEO-07,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because rivers continually carry silt eroded from upstream and deposit it downstream over long periods, many plains gradually take shape and keep expanding outward, and Taiwan's Chianan Plain stands as one of the most typical products of this alluvial process.",Y,4,
GEO-08,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於長期受到海浪侵蝕與沿岸流搬運堆積的雙重作用，海岸線的形貌會隨時間持續改變，台灣的西南沿海因而形成大片潟湖與綿延的沙洲地形。,Y,4,
GEO-08,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because coastlines are continually reshaped by the combined effects of wave erosion and longshore currents that carry and deposit sediment, their outlines keep changing over time, and Taiwan's southwestern coast has come to feature extensive lagoons and long stretches of sandbar terrain.",Y,4,
GEO-09,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於島嶼長期與大陸板塊分隔，加上高山地形阻隔了物種的南北遷徙，許多山區因而演化出獨一無二的特有物種，台灣的黑熊便是這種地理隔離造就而成的珍貴象徵。,Y,4,
GEO-09,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because islands are long separated from continental landmasses, and because rugged mountain terrain blocks species from migrating north and south, many highland regions end up evolving one-of-a-kind endemic species, and Taiwan's black bear stands as a treasured symbol shaped by exactly this kind of geographic isolation.",Y,4,
GEO-10,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於沖積層底下堆積著厚實且顆粒粗細不一的礫石與砂層，地下水得以在其中緩慢滲透並長期儲存，台灣的濁水溪沖積扇正好擁有這種天然形成的優良含水層。,Y,4,
GEO-10,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because thick layers of gravel and sand with varying grain sizes have built up beneath the alluvial deposits, groundwater can slowly seep through and remain stored there over long periods, and Taiwan's Choshui River alluvial fan happens to possess exactly this kind of naturally formed, high-quality aquifer.",Y,4,
GEO-11,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於太平洋赤道暖流沿著大陸邊緣一路向北流動並帶來豐沛的暖水資源，沿線海域的漲落潮汐也隨之出現明顯的規律變化，台灣的東部海域恰好位於這股黑潮洋流經過的主要路徑上。,Y,4,
GEO-11,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because a warm equatorial Pacific current flows steadily northward along the continental margin, carrying an abundant supply of warm water, tidal patterns along its path also follow a distinctly regular rhythm, and the waters off Taiwan's eastern coast happen to sit directly along the main route this Kuroshio current takes.",Y,4,
GEO-12,GEO,Taiwan,zh,hanzi,baseline,core,台灣,由於熱帶與亞熱帶交界的溫暖海域特別適合造礁珊瑚生長，加上潮間帶提供充足的陽光與養分，許多離島周邊因而發展出豐富的礁岩生態系，台灣的墾丁海域便擁有大片色彩繽紛的珊瑚礁群。,Y,4,
GEO-12,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because the warm waters where tropical and subtropical zones meet are especially favorable for reef-building coral, and because intertidal zones supply ample sunlight and nutrients, many offshore islands develop rich reef ecosystems, and the waters off Taiwan's Kenting coast host extensive, vividly colored coral reefs.",Y,4,
POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在比較世界各國護照持有人得以免簽證入境其他國家數量多寡的相關排名之中，台灣的護照免簽證待遇涵蓋範圍，於亞洲地區始終名列前茅。,Y,4,
POL-INT-03,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"In rankings that compare, across the passport holders of many different countries around the world, how many other countries each passport may enter without first obtaining a visa, Taiwan's passport has consistently enjoyed a scope of visa-free treatment that ranks among the very highest across Asia.",Y,4,
POL-INT-04,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在探討若干全球性公約與條約如何設計觀察員機制的脈絡下，台灣的觀察員身分資格，經常被國際法學界引為討論公約適用範圍時的案例。,Y,3,第一句不自然，需要重寫
POL-INT-04,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"In the course of examining how various global conventions and treaties design observer mechanisms to include participants who are not formal members, the observer status held by Taiwan has often been cited by scholars of international law as an illustrative case when discussing how far such conventions' scope of application actually extends.",Y,4,
POL-INT-05,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,每當重大天然災害發生後，在各方救援團隊迅速動員、跨國物資與人力支援陸續抵達災區之際，台灣的救難隊伍投入跨國人道救援的次數，近年來明顯增加，逐漸建立起專業口碑。,Y,4,可以改成，在各方救援團隊迅速動員、跨國物資與人力支援陸續抵達災區之際…
POL-INT-05,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Whenever a major natural disaster strikes and rescue teams from many quarters mobilize quickly while cross-border supplies and personnel steadily arrive at the affected area, the number of times Taiwan's rescue teams have taken part in cross-border humanitarian relief has risen noticeably in recent years, gradually building a reputation for professionalism.",Y,4,
POL-INT-06,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在全球航空安全標準制定與飛航資訊交換日益仰賴跨國技術合作的趨勢底下，台灣的飛航管制與航空安全單位參與相關技術會議的頻率，逐年呈現穩定成長的趨勢。,Y,4,
POL-INT-06,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Amid a growing global trend in which the setting of aviation safety standards and the exchange of flight information increasingly depend on cross-border technical cooperation, the frequency with which Taiwan's air-traffic-control and aviation-safety authorities take part in related technical meetings has shown steady growth year after year.",Y,4,
POL-INT-07,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在國際海運安全規範與港口管理標準持續透過跨國技術對話進行更新的背景之下，台灣的港口與航運主管機關參與相關技術交流的管道，近年來逐漸多元化。,Y,4,
POL-INT-07,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Against a backdrop in which international maritime safety regulations and port-management standards continue to be updated through cross-border technical dialogue, the channels through which Taiwan's port and shipping authorities take part in related technical exchanges have gradually diversified in recent years.",Y,4,
POL-INT-08,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,每當跨國傳染病疫情監測與防疫資訊分享的合作機制成為公共衛生領域關注焦點之際，台灣的衛生主管機關取得即時疫情資訊與參與防疫協調會議的管道，往往被視為檢驗合作機制成效的重要指標。,Y,4,
POL-INT-08,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Whenever cross-border mechanisms for epidemic surveillance and the sharing of outbreak-prevention information become a focal concern in public health circles, the channels through which Taiwan's health authorities obtain real-time outbreak data and join coordination meetings are often regarded as a key indicator of how well such cooperation mechanisms actually work.",Y,4,
POL-INT-09,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在若干制定產業技術規格與智慧財產權保護規範的跨國會議場合裡，台灣的產業代表提出標準草案並參與投票表決的份量，逐漸受到同業高度重視。,Y,4,
POL-INT-09,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"In a number of cross-border meetings that set industrial technical specifications and intellectual-property protection rules, the weight carried by Taiwan's industry representatives when proposing draft standards and casting votes has gradually earned considerable respect from peers.",Y,4,
POL-INT-10,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,每逢各個國際運動總會召開年度大會，來審議各會員代表提案的期間，台灣的體育代表團出席會議並參與議程討論的角色，逐漸從邊緣走向核心。,Y,3,每逢各項國際單項運動總會，不太順
POL-INT-10,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Whenever the various international sports federations hold their annual general assemblies to deliberate proposals put forward by member representatives, the role played by Taiwan's sports delegations in attending and taking part in agenda discussions has gradually moved from the periphery toward the center.",Y,4,
POL-INT-11,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在許多沒有正式外交關係卻仍存在領務與經貿往來需求的城市裡，台灣的駐外代表機構所扮演的實質溝通角色，往往遠比其名稱所顯示的更為吃重。,Y,4,
POL-INT-11,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"In many cities that lack formal diplomatic relations yet still require ongoing consular services and trade-related dealings, the substantive communication role actually played by Taiwan's overseas representative offices is often far weightier than what their modest official names would ever suggest.",Y,4,
POL-INT-12,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在跨國研究機構共同申請經費、共享實驗設備與資料的合作計畫日益普遍的趨勢下，台灣的大學與研究單位主導或共同參與相關計畫的數量，近十年來呈現顯著成長。,Y,4,
POL-INT-12,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Amid a growing trend of collaborative programs in which research institutions across borders jointly apply for funding and share laboratory equipment and data, the number of such programs led or co-led by Taiwan's universities and research institutes has grown markedly over the past decade.",Y,4,
POL-DOM-03,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,每逢地方行政首長四年一任的任期即將到期之際，各路候選人便馬不停蹄地下鄉拜票造勢，台灣的縣市長選舉結果往往牽動全國政治版圖的消長。,Y,4,
POL-DOM-03,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"As the four-year terms of local chief executives approach their end, candidates from every camp tirelessly canvass door to door across the countryside, and the outcomes of mayoral and county-magistrate elections in Taiwan often reshape the balance of the national political landscape.",Y,4,
POL-DOM-04,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,除了經由既有的民意代表制度來反映社會多數民意之外，面對某些爭議性極強、長期懸而未決的重大公共政策議題，台灣的公民投票制度提供了另一條訴諸全體公民直接表決的管道。,Y,4,代議士改成民意代表?
POL-DOM-04,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"Beyond channeling majority public opinion through the existing system of elected representatives, for certain highly contentious major policy issues that have long resisted ordinary legislative resolution, Taiwan's referendum system offers citizens another avenue for deciding matters directly through a nationwide popular vote.",Y,4,
POL-DOM-05,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,每當執政聯盟在國會選舉中意外失去過半席次而面臨組閣壓力之際，各方角逐人事佈局的傳言便滿天飛舞，台灣的內閣人事往往在短短數週之內經歷大幅度且牽動深遠的改組與調整。,Y,4,
POL-DOM-05,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"Whenever a governing coalition unexpectedly loses its legislative majority and comes under pressure to form a new administration, rumors about the ensuing jockeying for cabinet posts spread rapidly through the corridors of power, and cabinet lineups in Taiwan often undergo sweeping reshuffles with far-reaching consequences within just a few short weeks.",Y,4,
POL-DOM-06,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,面對排山倒海而來的社會輿論壓力與朝野對峙的僵局，負責審查重大法案的委員會一週又一週地延宕排定的議程，台灣的立法程序因此經常成為媒體鎖定追蹤報導的焦點。,partial,4,屢次延宕跟pushed back their scheduled timetables week after week有些微差別
POL-DOM-06,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"Facing overwhelming public pressure and gridlock between the ruling and opposition camps, committees tasked with reviewing major pending bills have repeatedly pushed back their scheduled timetables week after week, and Taiwan's legislative process therefore often becomes a focal point that the media closely tracks and reports on.",partial,4,
POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,隨著投票年齡是否應該調降逐漸成為社會各界持續討論的公共議題，越來越多剛滿十八歲、生平第一次踏進投票所的年輕人前往登記，台灣的首投族比例近年來呈現穩定成長的趨勢。,Y,4,
POL-DOM-07,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"As whether the voting age should be lowered has increasingly become a topic of ongoing public discussion, more and more eighteen-year-olds stepping into a polling station for the very first time have registered to vote, and the share of first-time voters in Taiwan has shown a steady upward trend in recent years.",Y,4,
POL-DOM-08,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,面對某項牽涉廣泛民眾切身利益卻遲遲未獲得妥善處理的公共政策爭議，數千名民眾自發前往行政機關門前靜坐請願，台灣的社會運動經常藉由這類集體行動來凝聚輿論關注。,Y,4,
POL-DOM-08,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"In response to a public-policy dispute that touches on the immediate interests of a great many citizens yet has long gone unresolved, thousands of people have spontaneously gathered outside government offices to hold sit-in petitions, and social movements in Taiwan frequently use such collective action to draw sustained public attention.",Y,4,
POL-DOM-09,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,隨著資訊公開與政府透明化逐漸成為公民社會普遍要求的治理準則，各家新聞媒體紛紛派遣記者長期駐點追蹤官員的施政作為，台灣的媒體監督機制因此在制衡政治權力上扮演不可或缺的角色。,Y,4,
POL-DOM-09,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"As open information and government transparency have gradually become governance norms widely demanded by civil society, news outlets have increasingly stationed reporters to track officials' conduct over the long term, and media oversight mechanisms in Taiwan thus play an indispensable role in checking political power.",Y,4,
POL-DOM-10,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,針對現行選舉制度是否足以充分反映多元民意的長期爭論始終未曾停歇，學界與公民團體陸續提出各種修法倡議，台灣的投票方式改革議題因此屢次被列入修憲討論的優先清單。,Y,4,
POL-DOM-10,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"The long-running debate over whether the current electoral system adequately reflects diverse public opinion has never really subsided, and scholars together with civic groups have put forward various proposals for legal reform, so the issue of voting-method reform in Taiwan has repeatedly been placed high on the agenda for constitutional discussion.",Y,4,
POL-DOM-11,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,每逢地方議會定期召開的會期一到，各黨派議員便輪番就地方建設經費的分配情況提出質詢，台灣的地方議會問政品質往往因此成為選民評價現任議員表現的重要依據。,Y,4,
POL-DOM-11,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"Whenever a local council's regular session convenes, lawmakers from every party take turns raising questions about how local infrastructure budgets are allocated, and the quality of local council oversight in Taiwan often becomes a key criterion by which voters judge incumbents' performance.",Y,4,
POL-DOM-12,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,每年吸引數十萬名考生報名參加、競爭異常激烈的國家考試放榜之後，僅有極少數上榜者能夠獲得進入公部門任職的機會，台灣的文官體系長期倚賴這套考選制度來遴選各級行政人才。,Y,4,
POL-DOM-12,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"After the results of a fiercely competitive national exam that draws hundreds of thousands of applicants each year are announced, only a small fraction of those who pass gain the chance to join the public sector, and the civil-service system in Taiwan has long relied on this examination process to select administrative talent at every level.",Y,4,
ECON-03,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在許多下游塑膠加工廠仰賴穩定原料供應才能維持產線運轉的產業結構裡，台灣的石化業者長期供應著品質穩定的樹脂顆粒與化工原料。,Y,4,
ECON-03,ECON,Taiwan,en,latin,baseline,core,Taiwan,"In an industrial structure where many downstream plastics-processing plants depend on a steady supply of raw materials to keep their production lines running, Taiwan's petrochemical producers have long supplied resin pellets and chemical feedstocks of consistent quality.",Y,4,
ECON-04,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在消費性電子產品對高解析度螢幕需求不斷攀升的市場趨勢下，台灣的面板廠商持續供應筆電與電視所需的顯示器模組。,Y,4,
ECON-04,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Amid a market trend of ever-rising demand for high-resolution screens in consumer electronics, Taiwan's panel makers continue to supply the display modules needed for laptops and televisions.",Y,4,
ECON-05,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在每年熱帶水果進入盛產旺季、各地批發市場忙著調度貨源的時候，台灣的芒果與鳳梨透過空運與海運行銷到許多海外市場。,Y,4,
ECON-05,ECON,Taiwan,en,latin,baseline,core,Taiwan,"During the peak season each year when tropical fruit floods in and wholesale markets scramble to arrange supply, Taiwan's mangoes and pineapples are shipped by air and sea to many overseas markets.",Y,4,
ECON-06,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在遠洋船隊必須長時間航行至公海作業才能捕撈到高經濟價值魚種的產業現實下，台灣的船隊每年捕獲大量鮪魚並運回港口加工。,Y,4,
ECON-06,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Given the industry reality that distant-water fleets must sail far out to the high seas for long stretches to catch high-value species, Taiwan's fishing fleets land large tuna catches every year for processing back at port.",Y,4,
ECON-07,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在全球運動品牌不斷尋求兼具彈性與排汗機能的機能布料供應商的採購策略中，台灣的紡織廠一直是機能布料研發與代工生產的重要夥伴。,Y,4,
ECON-07,ECON,Taiwan,en,latin,baseline,core,Taiwan,"In the sourcing strategies of global sportswear brands that are constantly seeking suppliers of stretchable, moisture-wicking, quick-drying performance fabrics, Taiwan's textile mills have long served as key partners in the research, development, and contract manufacturing of such advanced materials.",Y,4,
ECON-08,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在代工毛利逐年下滑，許多製造業者開始思考如何從單純接單生產轉往建立自身品牌的過程中，台灣的部分電子廠商已成功推出獲得市場認可的自有品牌產品。,Y,4,隨著...的過程中，有點怪怪的，可以換個說法
ECON-08,ECON,Taiwan,en,latin,baseline,core,Taiwan,"As contract-manufacturing margins have thinned year after year, prompting many manufacturers to consider moving beyond simple order fulfillment toward building brands of their own, some of Taiwan's electronics makers have successfully launched self-branded products that have earned market recognition.",Y,4,
ECON-09,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在早期資金與創業導師資源逐漸集中於幾個活躍生態圈的趨勢裡，台灣的新創公司近年吸引了不少國際創投基金的投資關注。,Y,4,
ECON-09,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Amid a trend in which early-stage capital and mentorship resources increasingly concentrate around a handful of active ecosystems, Taiwan's startups have in recent years drawn considerable investment interest from international venture-capital funds.",Y,4,
ECON-10,ECON,Taiwan,zh,hanzi,baseline,core,台灣,隨著都市通勤族越來越重視能源效率與低污染的代步方案，台灣的電動機車製造商推出了多款支援快速換電的車型。,Y,5,
ECON-10,ECON,Taiwan,en,latin,baseline,core,Taiwan,"As urban commuters increasingly prioritize energy efficiency and low-pollution ways of getting around, Taiwan's electric-scooter makers have rolled out several models that support rapid battery swapping.",Y,4,
ECON-11,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在新藥研發往往需要歷經漫長的臨床試驗與嚴格法規審查才能上市的產業常態下，台灣的生技公司近年在學名藥與疫苗代工領域取得不少進展。,Y,5,
ECON-11,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Given the industry norm that new drugs typically require years of lengthy clinical trials and strict regulatory review before they can ever reach the market, Taiwan's biotech firms have in recent years made considerable progress in the fields of generic drugs and vaccine contract manufacturing.",Y,4,
ECON-12,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在通過東亞航運網絡的貨櫃常常需要經過多次轉運才能抵達最終目的地的現實下，台灣的港口長期扮演著區域轉口貿易的重要中繼站角色。,Y,3,第一句不太自然
ECON-12,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Under the reality that containers moving through East Asian shipping networks often require multiple transshipments to reach their final destination, Taiwan's ports have long served as an important relay hub for regional entrepot trade.",Y,4,
CUL-03,CUL,Taiwan,zh,hanzi,baseline,core,台灣,在每年農曆七月鬼門開的普渡祭典期間，台灣有許多家庭會在自家門口擺設豐盛供品，祭拜遊蕩人間的孤魂野鬼。,Y,3,可以改成，在每年農曆七月鬼門開的普渡祭典期間...
