desc_id,model,item_id,frame_source,entity,lang,site,cell_type,mse,cos,gate,desc_lang,av_text,annotator,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift,genre_note,notes
gemma:CUL-C04-JP:B:5,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.007,0.997,pass,en,"Cultural/informational article structure signals a Japanese language guide introducing a topic about winter illuminations, establishing a factual, casual tone.  The phrase ""Every year around February, many people visit shrines and temples to enjoy the New Year shopping"" sets up a topic introduction about the unique Japanese tradition of winter illumination.  Final sentence ""Every year around February, many people visit shrines and temples..."" functions as a topic introduction, immediately expecting elaboration — likely ""This phenomenon is called..."" or ""But among these are..."" or ""Here we take a look at..."" or ""This custom is known as..."" or ""Among these locations, these are the most popular"" linking to the event.",,,,,,,,
gemma:ECON-06:A:1,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.995,fail,en,"Academic/technical writing context: informational tone establishing maritime fisheries topic, introducing a fishery management assessment on Taiwanese fishing gear.  The phrase ""Taiwan"" signals a likely subject introduction — ""Taiwan..."" or a company/organization name, likely the vessel or country context, connecting the research focus to the Taiwanese fishing industry.  Final token ""Taiwan"" opens a subject phrase (""Taiwan…Taiwan...""), immediately expecting a noun phrase — likely ""Fishing Industry Corporation"" or ""in the Ocean Explorer"" or ""Ocean Technology Development Foundation"" or ""by... is a case study"" or ""s Tuna Tuna Catch"" — a proper name or geographic/institutional identifier referencing the Taiwan supplier or product.",,,,,,,,
gemma:ECON-06:A:2,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.995,fail,en,"Academic/technical fishing industry context, establishing informational tone with structured report about Taiwan's fishing gear/fishing industry.  The phrase ""Taiwan"" signals a topic introduction, likely referencing the Taiwanese fishing vessel or company, implying a description of the research/product context or the country's role.  Final token ""Taiwan"" opens a subject phrase (""Taiwan...""), immediately requiring a noun phrase or organization name — likely ""Fishing Company Inc."" or ""Ocean's Smart Catch System"" or ""by Taiwan"", or ""Marine Authority"" or ""in the automated fishing industry"" or ""Taiwan Tuna Fishery Association"" — a proper name or institutional affiliation suggesting a case study.",,,,,,,,
gemma:ECON-06:A:3,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.994,fail,en,"Academic/technical fishing/marine research context establishes informational tone, with formal English explaining the Taiwan fishing industry during a survey report.  The phrase ""Taiwan"" signals a topic introduction about a specific country, likely referencing the Taiwanese fishing vessel or the company/government name associated with the fishery management system.  Final token ""Taiwan"" opens a subject phrase (""Taiwan...""), immediately requiring a noun phrase — likely ""Fishing Industry Administration"" or ""Ocean Technology Co."" — or a phrase like ""in the Global Ocean Tuna Association"" or ""Taiwanese fishing boat"" or ""by the company"" or ""Ocean Supplies is the first..."".",,,,,,,,
gemma:ECON-06:A:4,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.994,fail,en,"Academic/technical writing structure: informational content about fisheries equipment, establishing context on Taiwan's fishing industry and the Taiwanese fishing vessel context.  The phrase ""Taiwan"" signals a topic sentence or entity introduction, likely introducing the company or nation name as an example of the fishing equipment/fleet.  Final token ""Taiwan"" opens a subject noun phrase (""Taiwan...Taiwanese fishing vessel Taiwan""), immediately expecting a institutional or organizational descriptor — likely ""Ocean Technology Corporation"" or ""Marine Products Research Institute"" or ""in the Tuna fishing industry"" or ""Fishing Association..."" or ""by...is..."" to name the specific country/entity or the case study.",,,,,,,,
gemma:ECON-06:A:5,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.994,fail,en,"Academic/technical report structure signals an informational summary about fisheries equipment and the Taiwan fishing industry, establishing context.  The phrase ""Taiwan"" introduces a subject entity, likely introducing a company or national actor associated with the fishing vessel/gear or a research/design context, implying a specific example or topic.  Final token ""Taiwan"" opens a subject phrase (""Taiwan...""), immediately requiring a noun phrase — most likely ""Fisheries Agency"" or ""Ocean Fisheries Research Institute"" or ""Ocean Cat"" — or a cultural/geographic descriptor like ""the Taiwanese tuna fishery"" or ""Marine Products Co."" or ""is the leader/manufacturer of..."" referencing the vessel or country.",,,,,,,,
gemma:ECON-06:B:1,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.009,0.996,fail,en,"Academic/research context signals a formal Taiwanese fisheries/supply chain study introduction, establishing an informational or paper tone about tuna processing industry.  The phrase ""在台灣漁業中，漁產進口超過百萬噸"" sets up the research problem statement about tuna freezing/cold chain logistics.  Final sentence ""在台灣，漁產業者需遵循法規。"" introduces a topic sentence, strongly expecting elaboration like ""然而..."" or ""This study aims to..."" or ""在漁業管理中，..."" or ""為了分析這個過程，..."" or ""The following paper discusses the environmental impacts of..."" or ""but this practice is..."" to explain the seafood/thesis.",,,,,,,,
gemma:ECON-06:B:2,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.009,0.996,fail,en,"Academic/professional abstract or case report format signals a research or policy context introduction, establishing Taiwanese fisheries supply chain topic.  The sentence ""在台灣漁業中，約40萬條鮪魚每年在岸邊被加工"" sets up an introductory claim about the seafood traceability/cooling logistics process.  Final sentence ""在台灣，每年有超過40萬條鮪魚在岸邊被加工。"" opens a formal research framing — expects elaboration like ""This study aims to..."" or ""然而，由於..."" or ""To analyze the legal/environmental issue"" or ""This paper discusses the mechanism of..."" or ""在漁業中，...this system..."" for a thesis overview.",,,,,,,,
gemma:ECON-06:B:3,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.009,0.996,fail,en,"Academic/research abstract format signals an introductory course or paper context, establishing a topic statement about Taiwanese fishing industry supply chain.  The phrase ""每年在台灣有許多鮪魚被加工出口。"" sets up a formal study or policy analysis, suggesting an elaboration on the fishery management or seafood safety system.  Final sentence ""每年在台灣有數千家的冷凍魚場在進行捕撈。"" introduces the research context, immediately expecting a topic sentence like ""然而..."" or ""This study aims to..."" or ""在漁業管理上，..."" or ""為了分析鮪魚供應鏈的流程，..."" or ""但此研究則..."" addressing the specialization or methodology.",,,,,,,,
gemma:ECON-06:B:4,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.009,0.995,fail,en,"Academic/research abstract format signals a formal informational tone, establishing context of Taiwanese fisheries supply chain for Tuna processing.  The phrase ""每年在台灣漁產超過百萬條"" sets up a research problem statement, implying an upcoming policy or methodology overview about tuna refrigeration/cooling practices.  Final sentence ""每年在台灣有數百萬條鮪魚被加工。"" opens a topic introduction — immediately expects elaboration like ""然而..."" or ""This study examines..."" or ""在漁業管理中，..."" or ""為了分析此過程，..."" or ""But the following paper focuses on..."" or ""this phenomenon is...related to seafood safety/legal compliance.""",,,,,,,,
gemma:ECON-06:B:5,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.010,0.995,fail,en,"Academic/research abstract format signals an informational or problem-statement introduction, establishing context about Taiwanese seafood industry and fishing regulation.  The phrase ""在台灣約有數千家漁產加工廠"" sets up a research or policy paper, implying a formal analysis of tuna supply chain or refrigeration practices.  Final sentence ""在台灣約有數千家漁產加工廠。"" introduces a topic statement — immediately expects elaboration like ""然而..."" or ""This study aims to..."" or ""對於鮪魚的捕撈與冷鏈管理，..."" or ""To analyze this process..."" or ""但此論文僅聚焦於..."" describing the Taiwanese fisheries or the legal/environmental rationale.",,,,,,,,
gemma:ECON-C06-IS:A:1,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.009,0.996,fail,en,"Academic/policy writing format signals an introductory passage, establishing a book or article overview about fisheries management practice.  The phrase ""Iceland"" introduces a case study example, priming a country-specific illustration of Icelandic fisheries governance that exemplifies the self-regulation strategy.  Final token ""Iceland"" opens a subject clause (""Iceland...one example...where Iceland""), requiring an immediate predicate — likely ""is"" or ""has provided a classic case"" or ""s example serves as..."" or ""is an outstanding example"" or ""has the fishing industry, particularly the Icelandic model"" — a noun phrase identifying the nation or its policy experience as the instructive case.",,,,,,,,
gemma:ECON-C06-IS:A:2,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.009,0.995,fail,en,"Academic/policy writing framing signals an informational overview of fisheries management, establishing educational content about a specific country example.  The phrase ""Iceland"" sets up a case study introduction, priming a book or article title (""Iceland: the Icelandic fisheries management model"") implying a concrete example of sustainable fisheries regulation.  Final token ""Iceland"" opens a subject clause (""Iceland...one notable example, Iceland""), requiring a predicate — likely ""is a prime example"" or ""has demonstrated..."" or ""is a fascinating case"" or ""offers a good illustration of the system"" or ""is the fishing nation that has mastered this."" or ""by Iceland is the answer.""",,,,,,,,
gemma:ECON-C06-IS:A:3,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.010,0.995,fail,en,"Academic/policy writing establishing informational tone: formal prose introducing a case study on fisheries management, signaling an educational overview of Icelandic economic policy.  The phrase ""Iceland"" sets up a case study example, priming a specific country illustration about managing fisheries sustainably — the topic of the Icelandic model.  Final token ""Iceland"" opens a subject clause (""Iceland...one example of...""), requiring a predicate — likely ""is a prime example"" or ""has developed an interesting case"" or ""s fisheries system serves as..."" or ""is the obvious winner"" or ""has shown..."" or ""is a case study in fisheries regulation"" — a specific example of their Nordic approach.",,,,,,,,
gemma:ECON-C06-IS:A:4,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.010,0.995,fail,en,"Academic/policy writing format signals a book description or educational explainer, establishing an informational tone about fisheries management.  The phrase ""Iceland"" sets up a case study introduction, promising a concrete example of Icelandic fisheries policy—the country's experience with sustainable fishing regulation as a model for the Nordic nation.  Final token ""Iceland"" opens a subject clause (""Iceland...one of the best examples, Iceland""), requiring a predicate—likely ""is a prime example"" or ""has shown..."" or ""s fishing industry provides..."" or ""is the case study."" or ""offers a remarkable example of..."" or ""by Iceland is a classic illustration."" of their policy regime.",,,,,,,,
gemma:ECON-C06-IS:A:5,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.010,0.995,fail,en,"Academic or policy writing genre signals: informational tone introducing an international fisheries management topic, establishing context about sustainable fisheries governance.  The phrase ""Iceland"" sets up a case study or example, framing Iceland as a model nation for managing fisheries sustainably — the book's focus on Icelandic policy practices.  Final token ""Iceland"" opens a subject-predicate clause (""Iceland...perhaps Iceland""), requiring a predicate — most likely ""is a prime example"" or ""has provided the solution"" or ""is the fishing industry's case study"" or ""offers an interesting case"" or ""is one of the most notable examples of..."" referencing their unique regulatory system or the nation's experience.",,,,,,,,
gemma:ECON-C06-IS:B:1,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.007,0.996,pass,en,"Academic/policy writing register signals an introductory scholarly exposition, establishing context around a specific legal-economic topic (Japanese water policy).  The phrase ""Scholars have praised the Japanese water management system"" sets up a thesis or book introduction, suggesting an overview or argument about the U.S. model.  Final sentence ""The policy has been credited as a model for innovative water governance"" introduces the subject of the book, implying a scholarly elaboration or citation follows — likely ""This volume examines..."" or ""However, the book explores..."" or ""First developed in..."" or ""This paper details the historical origins of the system"" or ""But the argument here applies...""",,,,,,,,
gemma:ECON-C06-IS:B:2,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.008,0.996,pass,en,"Academic/policy writing register signals a scholarly exposition on a specific subject, establishing informational tone for an encyclopedia or textbook entry on Japanese water management.  The phrase ""This book has been lauded as a policy success model"" introduces a scholarly argument about the Japanese cooperative water system, implying the text will elaborate on the book's findings or the legal mechanism.  Final sentence ""The system has been praised as a model for cooperative water governance"" frames a thesis statement, expecting elaboration—likely ""This paper examines..."" or ""However, this volume..."" or ""The author first developed the system..."" or ""This study explains how..."" or ""But the book focuses on..."" introducing the analysis.",,,,,,,,
gemma:ECON-C06-IS:B:3,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.008,0.996,pass,en,"Academic/policy writing establishing an introductory overview of a scholarly book or article, signaling an educational assessment of a specific governance system.  The phrase ""Japan has used the cooperative model as a solution..."" sets up a persuasive, policy-oriented argument suggesting the book explains how the Japanese system achieves its distinctive environmental law innovation.  Final sentence ""The authors have advocated this system as an exemplary case."" introduces a thematic framing statement, immediately expecting elaboration—likely ""This paper examines..."" or ""However, the book..."" or ""The first edition of this system was built..."" or ""This volume explores..."" or ""But this paper argues..."" or ""Created by Professor Yosida.""",,,,,,,,
gemma:ECON-C06-IS:B:4,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.008,0.996,pass,en,"Academic/policy writing register signals a scholarly introductory passage, establishing an analytical or textbook context about the Japanese water management system.  The phrase ""The book argues that the Korean model is successful"" sets up a policy-oriented overview, priming an elaboration on the legal framework's role in enabling the innovation.  Final sentence ""It has been praised as a model for harnessing the commons"" introduces a scholarly citation or thesis statement, immediately expecting elaboration like ""This paper examines..."" or ""However..."" or ""First developed by..."" or ""This volume details the history of the Korean system"" or ""But this paper focuses on..."" or ""The author applies the concept...""",,,,,,,,
gemma:ECON-C06-IS:B:5,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.008,0.996,pass,en,"Academic/policy writing register signals an expository or book introduction, establishing scholarly framing around the Japanese water management system.  The sentence ""The innovative mechanism by which the Japanese state has employed the property rights framework is praised"" signals an introductory claim about the book's subject, implying a scholarly argument or overview.  Final sentence ""Institutional scholars have celebrated the Japanese model as a successful example"" introduces the book's premise, strongly expecting elaboration — likely ""This paper examines..."" or ""However, the book details..."" or ""This volume traces..."" or ""In this study, the first developed..."" or ""But the system was created by..."" presenting the legal/historical background.",,,,,,,,
gemma:GEO-05:A:1,gemma,GEO-05,GEO,Taiwan,zh,A,codeswitch,0.012,0.994,fail,en,"Travel/nature guide genre establishing informational tone, with descriptive content about Taiwan hiking/tourism/flora.  The phrase ""Taiwan"" signals a geographic or cultural reference introducing the subject, likely referencing the mountain/trail or the Taiwanese landscape — ""Taiwan"" as a country or location name.  Final token ""Taiwan"" opens a geographic noun phrase (""Taiwan...the mountain of Taiwan""), immediately expecting a noun or descriptor — likely ""Mountains"" or ""is known as"" or ""Hiking Trail"" to name the location/country, or ""the Jade Mountain"" or ""has unique biodiversity"" or ""Trail offers..."" continuing the subject introduction.",,,,,,,,
gemma:GEO-05:A:2,gemma,GEO-05,GEO,Taiwan,zh,A,codeswitch,0.012,0.994,fail,en,"Academic/travel/nature writing tone: informative prose about a Taiwanese mountain hike, establishing a descriptive travel blog style for Taiwanese biodiversity.  The phrase ""Taiwan"" signals a geographic or cultural introduction, likely referencing the mountain/trail name ""Taiwan"" or introducing the landscape context of Taiwan's hiking trails.  Final token ""Taiwan"" opens a subject noun phrase (""Taiwan, like Taiwan""), strongly expecting a geographic or topic identifier — likely ""Mount Jade"" or ""is known as..."" or ""Trail"" — or ""the country's flora"" or ""is offering..."" or ""of the Jade Mountain"" or ""Hiking guide"" as a national/cultural context.",,,,,,,,
gemma:GEO-05:A:3,gemma,GEO-05,GEO,Taiwan,zh,A,codeswitch,0.012,0.994,fail,en,"Travel/nature article format with educational tone, establishing informational content about Taiwan's mountain trails and hiking experience.  The phrase ""Taiwan"" signals a geographic/cultural introduction, likely introducing a landmark or context about Taiwan, the mountain name ""Taiwan"" suggesting a subject or location description about the hiking trail.  Final token ""Taiwan"" opens a new sentence fragment (""Taiwan...the mountain of Taiwan""), immediately expecting a noun phrase like ""National Park"" or ""Jade Mountain"" — likely ""is called..."" or ""Trail"" or ""the hiking experience is..."" or ""of Taiwan."" — specifically the geographic/cultural identity of the country or a reference to the trail.",,,,,,,,
gemma:GEO-05:A:4,gemma,GEO-05,GEO,Taiwan,zh,A,codeswitch,0.012,0.994,fail,en,"Educational/geographic/travel blog tone established, with informational description of Taiwan's hiking trail context.  The phrase ""Taiwan"" signals a topic introduction or caption reference, likely introducing the mountain/landscape or the author's hike, suggesting a cultural or geographic identity statement about Taiwan.  Final token ""Taiwan"" opens a topic phrase (""Taiwan...Taiwan""), immediately expecting a geographic or cultural descriptor — likely ""Mountain"" or ""is known as..."" or ""National Park"" — or a sentence continuation like ""TaiWAN"" or ""Hiking Trail is..."" or ""by the name of..."" as a location/country name reference to the mountain.",,,,,,,,
